Spanish_Country,English_Country,Spanish_Nationality,English_Nationality
Italia,Italy,italiano/a,Italian
Jamaica,Jamaica,jamaicano/a,Jamaican
Japón,Japan,japonés/japonesa,Japanese
Jordania,Jordan,jordano/a,Jordanian
Kazajistán,Kazakhstan,kazajo/a,Kazakhstani
Kenia,Kenya,keniano/a,Kenyan
Kirguistán,Kyrgyzstan,kirguís,Kyrgyzstani
Kiribati,Kiribati,kiribatiano/a,I-Kiribati
Kuwait,Kuwait,kuwaití,Kuwaiti
Laos,Laos,laosiano/a,Lao
Lesoto,Lesotho,lesotense,Basotho
Letonia,Latvia,letón/letona,Latvian
Líbano,Lebanon,libanés/libanesa,Lebanese
Liberia,Liberia,liberiano/a,Liberian
Libia,Libya,libio/a,Libyan
Liechtenstein,Liechtenstein,liechtensteiniano/a,Liechtensteiner
Lituania,Lithuania,lituano/a,Lithuanian
Luxemburgo,Luxembourg,luxemburgués/luxemburguesa,Luxembourger
Madagascar,Madagascar,malgache,Malagasy
Malasia,Malaysia,malasio/a,Malaysian
Malaui,Malawi,malauí,Malawian
Maldivas,Maldives,maldivo/a,Maldivian
Malí,Mali,maliense,Malian
Malta,Malta,maltés/maltesa,Maltese
Marruecos,Morocco,marroquí,Moroccan
Mauricio,Mauritius,mauriciano/a,Mauritian
Mauritania,Mauritania,mauritano/a,Mauritanian
México,Mexico,mexicano/a,Mexican
Micronesia,Micronesia,micronesio/a,Micronesian
Moldavia,Moldova,moldavo/a,Moldovan
Mónaco,Monaco,monegasco/a,Monegasque
Mongolia,Mongolia,mongol/mongola,Mongolian
Montenegro,Montenegro,montenegrino/a,Montenegrin
Mozambique,Mozambique,mozambiqueño/a,Mozambican
Namibia,Namibia,namibio/a,Namibian
Nauru,Nauru,nauruano/a,Nauruan
Nepal,Nepal,nepalí,Nepalese
Nicaragua,Nicaragua,nicaragüense,Nicaraguan
Níger,Niger,nigerino/a,Nigerien
Nigeria,Nigeria,nigeriano/a,Nigerian
Noruega,Norway,noruego/a,Norwegian
Nueva Zelanda,New Zealand,neozelandés/neozelandesa,New Zealander
Omán,Oman,omaní,Omani
Países Bajos,Netherlands,neerlandés/neerlandesa,Dutch
Pakistán,Pakistan,paquistaní,Pakistani
Palaos,Palau,palauano/a,Palauan
Panamá,Panama,panameño/a,Panamanian
Papúa Nueva Guinea,Papua New Guinea,papú,Papua New Guinean
Paraguay,Paraguay,paraguayo/a,Paraguayan
Perú,Peru,peruano/a,Peruvian
Polonia,Poland,polaco/a,Polish
Portugal,Portugal,portugués/portuguesa,Portuguese
Reino Unido,United Kingdom,británico/a,British
República Centroafricana,Central African Republic,centroafricano/a,Central African
República Checa,Czech Republic,checo/a,Czech
República del Congo,Republic of the Congo,congoleño/a,Congolese
República Democrática del Congo,Democratic Republic of the Congo,congoleño/a,Congolese
República Dominicana,Dominican Republic,dominicano/a,Dominican
Ruanda,Rwanda,ruandés/ruandesa,Rwandan
Rumania,Romania,rumano/a,Romanian
Rusia,Russia,ruso/a,Russian
Samoa,Samoa,samoano/a,Samoan
San Cristóbal y Nieves,Saint Kitts and Nevis,sancristobaleño/a,Kittitian or Nevisian
San Marino,San Marino,sanmarinense,Sammarinese
San Vicente y las Granadinas,Saint Vincent and the Grenadines,vicentino/a,Saint Vincentian
Santa Lucía,Saint Lucia,santalucense,Saint Lucian
Santo Tomé y Príncipe,São Tomé and Príncipe,santomense,São Toméan
Senegal,Senegal,senegalés/senegalesa,Senegalese
Serbia,Serbia,serbio/a,Serbian
Seychelles,Seychelles,seychelense,Seychellois
Sierra Leona,Sierra Leone,sierraleonés/sierraleonesa,Sierra Leonean
Singapur,Singapore,singapurense,Singaporean
Siria,Syria,sirio/a,Syrian
Somalia,Somalia,somalí,Somali
Sri Lanka,Sri Lanka,ceilanés/ceilanesa,Sri Lankan
Sudáfrica,South Africa,sudafricano/a,South African
Sudán,Sudan,sudanés/sudanesa,Sudanese
Sudán del Sur,South Sudan,sursudanés/sursudanesa,South Sudanese
Suecia,Sweden,sueco/a,Swedish
Suiza,Switzerland,suizo/a,Swiss
Surinam,Suriname,surinamés/surinamesa,Surinamese
Tailandia,Thailand,tailandés/tailandesa,Thai
Tanzania,Tanzania,tanzano/a,Tanzanian
Tayikistán,Tajikistan,tayiko/a,Tajikistani
Timor Oriental,Timor-Leste,timorense,Timorese
Togo,Togo,togolés/togolesa,Togolese
Tonga,Tonga,tongano/a,Tongan
Trinidad y Tobago,Trinidad and Tobago,trinitense,Trinidadian or Tobagonian
Túnez,Tunisia,tunecino/a,Tunisian
Turkmenistán,Turkmenistan,turcomano/a,Turkmen
Turquía,Turkey,turco/a,Turkish
Tuvalu,Tuvalu,tuvaluano/a,Tuvaluan
Ucrania,Ukraine,ucraniano/a,Ukrainian
Uganda,Uganda,ugandés/ugandesa,Ugandan
Uruguay,Uruguay,uruguayo/a,Uruguayan
Uzbekistán,Uzbekistan,uzbeko/a,Uzbekistani
Vanuatu,Vanuatu,vanuatuense,Ni-Vanuatu
Vaticano,Vatican City,vaticano/a,Vatican
Venezuela,Venezuela,venezolano/a,Venezuelan
Vietnam,Vietnam,vietnamita,Vietnamese
Yemen,Yemen,yemení,Yemeni
Yibuti,Djibouti,yibutiano/a,Djiboutian
Zambia,Zambia,zambiano/a,Zambian
Zimbabue,Zimbabwe,zimbabuense,Zimbabwean
